Date,Campaign,Marketing Channel,Impressions,Clicks,CTR,Landing Page Visits,Leads,Qualified Leads,Customers,Conversion Rate,Revenue,Cost,ROI,Country,Device,Age Group,Gender,Campaign Type
2024-01-05,Influencer Collab,TikTok Ads,16345,837,5.1208,648,91,40,16,0.0979,1238.77,317.95,289.61,United Kingdom,Desktop,45-54,Female,Conversion
2024-01-06,Anniversary Sale,Organic Search,23893,1131,4.7336,1045,503,300,115,0.4813,20151.99,111.62,17954.1,India,Mobile,45-54,Female,Retargeting
2024-01-06,Flash Weekend Deal,YouTube Ads,14097,521,3.6958,468,83,51,12,0.0851,1665.08,371.75,347.9,India,Mobile,35-44,Female,Awareness
2024-01-07,Mid-Season Sale,Facebook Ads,21561,925,4.2902,794,218,112,37,0.1716,3304.36,743.6,344.37,Germany,Desktop,35-44,Female,Conversion
2024-01-07,Summer Sale Blast,Google Ads,14744,885,6.0024,722,210,146,74,0.5019,10306.19,837.67,1130.34,India,Mobile,35-44,Female,Consideration
2024-01-07,Free Trial Signup,Instagram Ads,22286,624,2.8,503,60,30,11,0.0494,1665.79,325.36,411.98,India,Desktop,18-24,Female,Awareness
2024-01-08,Loyalty Rewards Push,Email Marketing,15607,1205,7.7209,1128,512,351,158,1.0124,23937.68,177.33,13398.95,United States,Desktop,35-44,Male,Loyalty
2024-01-08,Product Launch Q3,YouTube Ads,7280,221,3.0357,169,38,19,4,0.0549,304.44,247.92,22.8,United States,Mobile,45-54,Male,Awareness
2024-01-08,Back to School,TikTok Ads,6720,301,4.4792,258,38,19,5,0.0744,652.07,177.53,267.3,South Africa,Mobile,45-54,Male,Loyalty
2024-01-08,Loyalty Rewards Push,Facebook Ads,11491,559,4.8647,409,68,54,14,0.1218,909.83,509.17,78.69,India,Desktop,25-34,Other,Consideration
2024-01-08,Festive Mega Offer,Google Ads,10588,723,6.8285,662,231,180,85,0.8028,7063.26,1111.03,535.74,United States,Mobile,25-34,Male,Awareness
2024-01-08,Loyalty Rewards Push,Email Marketing,11429,719,6.291,662,174,105,60,0.525,13885.52,142.51,9643.54,India,Mobile,35-44,Female,Awareness
2024-01-08,Holiday Gift Guide,LinkedIn Ads,20411,382,1.8715,316,70,54,24,0.1176,11217.97,995.44,1026.94,United States,Mobile,45-54,Female,Conversion
2024-01-09,Lead Gen Webinar,Facebook Ads,15676,706,4.5037,520,160,100,26,0.1659,5301.92,700.24,657.16,United Kingdom,Desktop,18-24,Female,Awareness
2024-01-09,Influencer Collab,Instagram Ads,17421,746,4.2822,618,103,60,24,0.1378,2100.46,566.85,270.55,Singapore,Desktop,45-54,Female,Conversion
2024-01-11,Festive Mega Offer,Facebook Ads,14496,539,3.7183,476,161,107,28,0.1932,5698.77,557.42,922.35,South Africa,Mobile,25-34,Female,Loyalty
2024-01-12,Flash Weekend Deal,Affiliate,20773,785,3.7789,643,142,84,17,0.0818,1264.91,467.13,170.78,United States,Desktop,35-44,Female,Consideration
2024-01-12,Holiday Gift Guide,Organic Search,18807,1092,5.8063,1047,379,184,95,0.5051,8060.31,67.16,11901.65,India,Mobile,18-24,Female,Conversion
2024-01-12,Free Trial Signup,TikTok Ads,4730,217,4.5877,161,33,15,6,0.1268,423.57,223.05,89.9,United States,Desktop,25-34,Male,Retargeting
2024-01-13,Clearance Blowout,Facebook Ads,22961,914,3.9807,815,243,109,40,0.1742,2741.85,683.4,301.21,India,Desktop,25-34,Male,Conversion
2024-01-13,Customer Win-Back,Facebook Ads,23079,834,3.6137,644,180,93,33,0.143,5421.03,797.4,579.84,India,Mobile,18-24,Male,Conversion
2024-01-14,Free Trial Signup,Referral,14715,1128,7.6656,1116,492,317,132,0.897,23310.88,79.97,29049.53,Germany,Tablet,25-34,Male,Retargeting
2024-01-14,Anniversary Sale,Google Ads,29848,2184,7.3171,2029,756,432,139,0.4657,32887.16,3180.81,933.92,India,Mobile,55+,Male,Loyalty
2024-01-14,Mid-Season Sale,Affiliate,11605,587,5.0582,517,164,97,19,0.1637,3049.3,422.47,621.78,United Kingdom,Mobile,25-34,Male,Awareness
2024-01-14,Product Launch Q1,Referral,32391,1776,5.483,1589,832,519,234,0.7224,69217.48,30.19,229172.87,India,Desktop,25-34,Male,Retargeting
2024-01-15,Free Trial Signup,Facebook Ads,19865,911,4.586,766,253,122,39,0.1963,7435.43,896.7,729.2,Australia,Mobile,25-34,Female,Retargeting
2024-01-15,New Year Kickoff,Organic Search,14114,853,6.0436,844,417,298,129,0.914,16110.42,130.87,12210.25,United States,Mobile,25-34,Female,Awareness
2024-01-15,Flash Weekend Deal,YouTube Ads,25413,903,3.5533,775,187,88,26,0.1023,2127.56,686.39,209.96,United States,Desktop,18-24,Female,Consideration
2024-01-15,Holiday Gift Guide,LinkedIn Ads,16412,488,2.9734,455,134,105,50,0.3047,17366.78,1070.19,1522.78,United Kingdom,Desktop,35-44,Female,Loyalty
2024-01-16,Flash Weekend Deal,LinkedIn Ads,22279,553,2.4822,533,155,99,38,0.1706,7104.0,1631.12,335.53,Australia,Mobile,45-54,Female,Conversion
2024-01-16,Festive Mega Offer,LinkedIn Ads,24619,684,2.7783,559,134,94,39,0.1584,16815.05,1540.27,991.69,India,Mobile,25-34,Female,Awareness
2024-01-16,Mid-Season Sale,Facebook Ads,15462,742,4.7989,621,140,57,21,0.1358,3311.68,797.34,315.34,Germany,Desktop,35-44,Male,Consideration
2024-01-17,Influencer Collab,Google Ads,19368,1152,5.948,1103,465,266,102,0.5266,25200.66,1542.38,1533.88,United States,Mobile,18-24,Female,Loyalty
2024-01-17,Product Launch Q3,Google Ads,21841,1229,5.627,1120,283,164,48,0.2198,11853.99,966.68,1126.26,Brazil,Mobile,25-34,Female,Retargeting
2024-01-17,Holiday Gift Guide,YouTube Ads,15759,491,3.1157,397,102,41,8,0.0508,732.74,485.59,50.9,United Kingdom,Mobile,35-44,Male,Conversion
2024-01-17,Festive Mega Offer,Referral,17681,1265,7.1546,1252,604,399,181,1.0237,35665.62,102.55,34678.76,United Kingdom,Desktop,25-34,Male,Loyalty
2024-01-18,Holiday Gift Guide,Instagram Ads,5301,241,4.5463,198,52,22,8,0.1509,1217.14,158.33,668.74,United States,Desktop,35-44,Female,Loyalty
2024-01-18,Holiday Gift Guide,Email Marketing,12267,1026,8.3639,896,404,249,103,0.8397,11107.73,102.83,10702.03,Germany,Desktop,18-24,Male,Loyalty
2024-01-18,Free Trial Signup,Instagram Ads,20488,949,4.632,810,169,69,4,0.0195,762.24,754.05,1.09,United States,Mobile,18-24,Male,Conversion
2024-01-18,Free Trial Signup,Facebook Ads,21947,1054,4.8025,835,246,143,47,0.2142,4413.24,570.16,674.04,Canada,Mobile,35-44,Male,Awareness
2024-01-19,Free Trial Signup,Referral,7017,362,5.1589,298,108,65,27,0.3848,7398.84,43.54,16893.2,South Africa,Mobile,25-34,Female,Awareness
2024-01-19,App Install Campaign,Google Ads,19558,1212,6.197,980,424,238,78,0.3988,15217.59,1818.03,737.04,United States,Mobile,25-34,Male,Retargeting
2024-01-19,Flash Weekend Deal,Organic Search,19446,1368,7.0349,1271,438,275,102,0.5245,9119.29,87.96,10267.54,Singapore,Desktop,55+,Female,Awareness
2024-01-19,Mid-Season Sale,TikTok Ads,11599,661,5.6988,554,144,64,22,0.1897,2411.98,301.66,699.57,UAE,Desktop,55+,Female,Consideration
2024-01-19,Loyalty Rewards Push,YouTube Ads,14416,563,3.9054,402,113,50,13,0.0902,2363.39,451.0,424.03,India,Mobile,45-54,Male,Conversion
2024-01-20,Lead Gen Webinar,Organic Search,18553,854,4.603,845,398,243,92,0.4959,5851.14,113.47,5056.55,South Africa,Mobile,18-24,Male,Retargeting
2024-01-20,Influencer Collab,Facebook Ads,22529,1003,4.452,823,299,133,46,0.2042,7776.97,539.29,1342.08,United States,Desktop,35-44,Male,Conversion
2024-01-21,Product Launch Q3,LinkedIn Ads,18448,442,2.3959,339,89,51,18,0.0976,8660.78,667.08,1198.31,Germany,Mobile,18-24,Male,Awareness
2024-01-21,Festive Mega Offer,Instagram Ads,13165,487,3.6992,410,145,84,9,0.0684,1528.17,392.78,289.07,India,Mobile,25-34,Female,Conversion
2024-01-21,Anniversary Sale,TikTok Ads,22228,1074,4.8317,933,186,99,27,0.1215,4019.78,670.53,499.49,UAE,Desktop,35-44,Male,Conversion
2024-01-22,New Year Kickoff,Email Marketing,18153,1741,9.5907,1614,556,360,125,0.6886,14216.34,81.18,17412.12,United States,Desktop,45-54,Male,Conversion
2024-01-22,Flash Weekend Deal,Facebook Ads,18743,936,4.9939,886,260,144,35,0.1867,3731.15,1005.25,271.17,UAE,Desktop,45-54,Male,Awareness
2024-01-22,Festive Mega Offer,Google Ads,24104,1694,7.0279,1455,553,331,155,0.643,17222.08,2028.94,748.82,South Africa,Mobile,35-44,Male,Retargeting
2024-01-23,Influencer Collab,Email Marketing,16555,1551,9.3688,1414,544,328,134,0.8094,28649.51,212.12,13406.27,United States,Mobile,35-44,Female,Awareness
2024-01-23,Holiday Gift Guide,Instagram Ads,13200,463,3.5076,370,77,50,17,0.1288,1709.15,343.0,398.29,UAE,Tablet,35-44,Male,Loyalty
2024-01-23,Mid-Season Sale,Google Ads,13349,793,5.9405,653,237,141,54,0.4045,13974.65,701.24,1892.85,United Kingdom,Mobile,35-44,Male,Consideration
2024-01-24,Festive Mega Offer,Organic Search,12916,811,6.279,747,229,131,29,0.2245,1902.12,97.43,1852.29,Canada,Mobile,35-44,Female,Awareness
2024-01-24,Referral Bonanza,Facebook Ads,13732,578,4.2091,512,112,63,20,0.1456,1926.03,458.05,320.48,United Kingdom,Mobile,35-44,Female,Conversion
2024-01-25,Back to School,TikTok Ads,10611,581,5.4755,403,85,49,15,0.1414,884.28,379.71,132.88,Singapore,Tablet,45-54,Female,Conversion
2024-01-25,Customer Win-Back,YouTube Ads,28313,1090,3.8498,946,164,73,20,0.0706,2704.03,1120.42,141.34,India,Desktop,25-34,Other,Retargeting
2024-01-25,Cart Abandonment Recovery,YouTube Ads,23890,714,2.9887,524,108,44,12,0.0502,1251.55,824.44,51.81,UAE,Desktop,45-54,Male,Conversion
2024-01-25,New Year Kickoff,TikTok Ads,26810,1156,4.3118,950,179,63,18,0.0671,1639.01,688.47,138.07,United States,Mobile,35-44,Male,Retargeting
2024-01-26,New Year Kickoff,Affiliate,24405,1019,4.1754,829,165,74,19,0.0779,1240.1,622.84,99.1,United States,Mobile,18-24,Female,Loyalty
2024-01-27,Festive Mega Offer,LinkedIn Ads,21418,405,1.8909,358,114,66,31,0.1447,6363.08,987.17,544.58,India,Tablet,25-34,Male,Retargeting
2024-01-27,App Install Campaign,Referral,23041,1184,5.1387,1136,613,434,235,1.0199,65426.27,92.9,70326.56,India,Mobile,25-34,Female,Consideration
2024-01-27,Mid-Season Sale,Referral,11092,838,7.555,780,306,198,124,1.1179,28974.02,144.64,19931.82,India,Desktop,18-24,Male,Conversion
2024-01-27,Product Launch Q1,TikTok Ads,17484,1024,5.8568,777,223,104,26,0.1487,1461.27,362.03,303.63,India,Desktop,25-34,Female,Conversion
2024-01-28,Summer Sale Blast,LinkedIn Ads,14325,396,2.7644,359,101,74,35,0.2443,15570.0,856.57,1717.71,United States,Desktop,45-54,Male,Awareness
2024-01-28,Back to School,Instagram Ads,21440,837,3.9039,683,181,93,25,0.1166,4434.5,758.54,484.61,United States,Mobile,25-34,Female,Retargeting
2024-01-28,Festive Mega Offer,Organic Search,16868,975,5.7802,933,285,154,74,0.4387,12690.23,108.03,11646.95,India,Mobile,18-24,Male,Consideration
2024-01-29,App Install Campaign,Instagram Ads,27776,1091,3.9279,995,296,116,35,0.126,5962.66,1071.83,456.31,United States,Desktop,18-24,Female,Retargeting
2024-01-29,Loyalty Rewards Push,LinkedIn Ads,20527,564,2.7476,494,119,83,25,0.1218,5248.63,1708.62,207.19,Singapore,Desktop,35-44,Female,Consideration
2024-01-30,Clearance Blowout,Google Ads,8974,463,5.1593,456,105,63,28,0.312,7179.62,710.14,911.01,Canada,Mobile,25-34,Male,Consideration
2024-01-31,Influencer Collab,YouTube Ads,9050,332,3.6685,278,80,41,13,0.1436,1812.2,309.68,485.18,Canada,Desktop,35-44,Female,Conversion
2024-01-31,Festive Mega Offer,Instagram Ads,11850,415,3.5021,372,105,56,8,0.0675,1241.47,351.69,253.0,Australia,Tablet,45-54,Male,Awareness
2024-01-31,Mid-Season Sale,Referral,16829,1150,6.8334,1060,523,298,127,0.7546,14268.91,36.91,38558.66,India,Tablet,35-44,Male,Loyalty
2024-01-31,Product Launch Q3,Facebook Ads,18345,842,4.5898,760,156,93,19,0.1036,3837.12,463.44,727.96,India,Mobile,25-34,Female,Consideration
2024-01-31,Back to School,Affiliate,13906,773,5.5588,665,194,104,49,0.3524,2766.27,289.63,855.1,UAE,Desktop,25-34,Female,Awareness
2024-01-31,Anniversary Sale,Affiliate,14955,513,3.4303,394,121,73,22,0.1471,1227.79,411.94,198.05,United Kingdom,Desktop,35-44,Female,Conversion
2024-02-01,Free Trial Signup,LinkedIn Ads,21837,671,3.0728,603,156,117,51,0.2335,20772.36,2051.25,912.67,Germany,Desktop,55+,Female,Awareness
2024-02-01,Product Launch Q3,YouTube Ads,23353,795,3.4043,624,91,40,7,0.03,1087.81,779.6,39.53,United Kingdom,Desktop,18-24,Female,Consideration
2024-02-01,Anniversary Sale,Affiliate,24544,1201,4.8933,1033,262,144,36,0.1467,3642.47,715.39,409.16,United Kingdom,Mobile,35-44,Female,Awareness
2024-02-01,App Install Campaign,Organic Search,26997,1424,5.2747,1316,450,349,157,0.5815,26297.18,58.34,44975.73,India,Mobile,35-44,Female,Conversion
2024-02-01,Mid-Season Sale,Google Ads,6847,362,5.287,326,138,95,33,0.482,4618.94,611.15,655.78,India,Desktop,18-24,Female,Awareness
2024-02-02,Flash Weekend Deal,Facebook Ads,23837,1200,5.0342,1121,336,275,67,0.2811,8603.24,472.33,1721.45,Canada,Desktop,25-34,Male,Conversion
2024-02-02,Lead Gen Webinar,LinkedIn Ads,23984,659,2.7477,631,158,97,37,0.1543,10699.12,1224.52,773.74,United Kingdom,Desktop,18-24,Female,Loyalty
2024-02-03,Summer Sale Blast,Instagram Ads,24503,1137,4.6402,879,197,89,35,0.1428,5660.47,777.92,627.64,India,Mobile,25-34,Female,Conversion
2024-02-03,Festive Mega Offer,Referral,18666,1421,7.6128,1092,507,367,150,0.8036,36519.06,130.6,27862.53,India,Desktop,25-34,Female,Retargeting
2024-02-04,Influencer Collab,YouTube Ads,14190,395,2.7837,303,113,52,19,0.1339,3471.49,309.66,1021.07,Brazil,Desktop,45-54,Male,Awareness
2024-02-04,Cart Abandonment Recovery,TikTok Ads,8095,461,5.6949,389,54,19,5,0.0618,702.85,244.78,187.14,United States,Mobile,25-34,Male,Retargeting
2024-02-04,Back to School,Affiliate,26899,1011,3.7585,922,133,77,26,0.0967,1899.6,347.38,446.84,United Kingdom,Desktop,25-34,Female,Retargeting
2024-02-04,App Install Campaign,Organic Search,20981,1081,5.1523,971,287,150,73,0.3479,7385.65,120.73,6017.49,United States,Mobile,18-24,Male,Loyalty
2024-02-05,App Install Campaign,TikTok Ads,25824,1647,6.3778,1354,205,77,17,0.0658,1459.83,466.38,213.01,South Africa,Desktop,25-34,Female,Retargeting
2024-02-05,Influencer Collab,Google Ads,16389,1070,6.5288,1039,376,238,89,0.543,13576.04,838.1,1519.86,India,Tablet,55+,Female,Awareness
2024-02-05,Summer Sale Blast,YouTube Ads,8636,370,4.2844,273,79,38,11,0.1274,935.39,217.48,330.1,United States,Mobile,45-54,Male,Awareness
2024-02-06,Influencer Collab,TikTok Ads,20010,1085,5.4223,834,193,79,20,0.1,716.0,354.32,102.08,India,Desktop,45-54,Female,Retargeting
2024-02-06,Mid-Season Sale,Instagram Ads,8730,289,3.3104,242,56,27,12,0.1375,1517.86,131.86,1051.11,India,Mobile,35-44,Female,Conversion
2024-02-07,Back to School,Instagram Ads,17847,887,4.97,724,80,36,13,0.0728,1509.42,430.58,250.56,India,Mobile,45-54,Male,Conversion
2024-02-07,Lead Gen Webinar,YouTube Ads,16700,473,2.8323,409,112,48,15,0.0898,2475.78,541.47,357.23,India,Mobile,35-44,Male,Awareness
2024-02-07,Holiday Gift Guide,YouTube Ads,23980,625,2.6063,532,124,75,25,0.1043,4261.77,730.93,483.06,India,Mobile,35-44,Male,Consideration
2024-02-07,Referral Bonanza,Instagram Ads,20372,914,4.4866,712,84,38,14,0.0687,951.95,802.66,18.6,UAE,Desktop,25-34,Male,Awareness
2024-02-07,Summer Sale Blast,TikTok Ads,13739,694,5.0513,600,82,43,3,0.0218,182.76,284.92,-35.86,India,Desktop,35-44,Female,Awareness
2024-02-08,Brand Awareness Drive,Email Marketing,17220,1196,6.9454,1112,425,231,90,0.5226,14220.99,227.8,6142.75,United States,Mobile,18-24,Male,Conversion
2024-02-09,Product Launch Q3,Instagram Ads,22809,755,3.3101,620,110,52,13,0.057,2497.82,405.65,515.76,India,Mobile,25-34,Male,Retargeting
2024-02-09,Influencer Collab,Instagram Ads,18704,765,4.09,589,161,91,22,0.1176,2657.84,573.02,363.83,United States,Desktop,25-34,Male,Retargeting
2024-02-10,Back to School,Email Marketing,24206,2002,8.2707,1911,689,395,146,0.6032,23862.01,200.28,11814.32,South Africa,Mobile,45-54,Other,Conversion
2024-02-11,Holiday Gift Guide,Email Marketing,27638,1989,7.1966,1755,620,307,113,0.4089,18438.91,117.45,15599.37,Australia,Desktop,25-34,Female,Retargeting
2024-02-11,Free Trial Signup,LinkedIn Ads,25300,781,3.087,773,334,245,121,0.4783,33246.24,2252.49,1375.98,Australia,Desktop,35-44,Male,Loyalty
2024-02-11,Brand Awareness Drive,Affiliate,18977,868,4.574,702,176,81,16,0.0843,2845.18,522.72,444.3,United Kingdom,Desktop,45-54,Female,Awareness
2024-02-11,New Year Kickoff,YouTube Ads,20870,801,3.838,705,242,104,32,0.1533,4350.94,720.24,504.1,United Kingdom,Desktop,18-24,Male,Consideration
2024-02-12,Festive Mega Offer,Email Marketing,19008,923,4.8559,913,326,171,68,0.3577,5320.0,153.96,3355.44,UAE,Desktop,25-34,Male,Consideration
2024-02-12,Brand Awareness Drive,Organic Search,15174,770,5.0745,689,198,94,45,0.2966,4350.9,60.65,7073.78,United States,Mobile,55+,Male,Consideration
2024-02-12,App Install Campaign,Google Ads,11368,691,6.0785,582,157,89,36,0.3167,8190.83,976.42,738.86,Australia,Mobile,35-44,Female,Awareness
2024-02-12,Customer Win-Back,Google Ads,15315,923,6.0268,740,222,139,56,0.3657,8815.05,1360.22,548.06,India,Desktop,35-44,Male,Conversion
2024-02-13,App Install Campaign,Email Marketing,21368,1419,6.6408,1327,470,281,106,0.4961,11931.5,91.06,13002.9,Canada,Mobile,35-44,Female,Conversion
2024-02-13,Lead Gen Webinar,Referral,13099,1012,7.7258,1001,364,282,122,0.9314,15042.17,49.98,29996.38,United States,Tablet,18-24,Male,Awareness
2024-02-14,Product Launch Q1,Facebook Ads,23483,832,3.543,707,180,103,23,0.0979,2814.91,759.15,270.8,India,Tablet,18-24,Female,Loyalty
2024-02-14,Free Trial Signup,YouTube Ads,17941,534,2.9764,399,59,28,3,0.0167,512.47,486.05,5.44,United States,Mobile,25-34,Female,Conversion
2024-02-14,Referral Bonanza,Google Ads,25745,1743,6.7702,1597,594,453,200,0.7768,32434.24,1508.59,2049.97,Australia,Mobile,35-44,Male,Awareness
2024-02-15,Product Launch Q3,Organic Search,22068,1335,6.0495,1321,480,312,118,0.5347,11898.96,26.91,44117.61,United States,Tablet,25-34,Female,Awareness
2024-02-15,Festive Mega Offer,Instagram Ads,17236,595,3.4521,500,74,36,15,0.087,1550.63,251.91,515.55,Germany,Desktop,18-24,Male,Conversion
2024-02-15,Product Launch Q1,Google Ads,19899,1268,6.3722,1039,325,245,83,0.4171,5952.78,1581.93,276.3,India,Mobile,25-34,Male,Loyalty
2024-02-15,App Install Campaign,Organic Search,14143,832,5.8828,769,185,121,58,0.4101,5496.19,90.98,5941.1,UAE,Desktop,35-44,Female,Conversion
2024-02-16,Cart Abandonment Recovery,Affiliate,27957,1100,3.9346,980,207,85,29,0.1037,4637.1,631.62,634.16,India,Mobile,35-44,Male,Awareness
2024-02-16,Holiday Gift Guide,Referral,20759,1829,8.8106,1609,628,398,227,1.0935,33642.49,48.07,69886.46,Germany,Mobile,25-34,Female,Consideration
2024-02-17,App Install Campaign,Affiliate,17938,617,3.4396,523,93,53,21,0.1171,2180.88,331.71,557.47,India,Tablet,35-44,Male,Retargeting
2024-02-17,Brand Awareness Drive,TikTok Ads,20625,727,3.5248,541,112,47,20,0.097,1934.89,452.07,328.01,United Kingdom,Mobile,25-34,Male,Awareness
2024-02-17,Cart Abandonment Recovery,Email Marketing,15969,1324,8.2911,1080,500,252,103,0.645,12386.71,231.29,5255.49,United States,Desktop,45-54,Female,Awareness
2024-02-18,Loyalty Rewards Push,Instagram Ads,21869,688,3.146,547,147,75,20,0.0915,1123.67,521.25,115.57,United States,Mobile,18-24,Male,Conversion
2024-02-18,Product Launch Q3,Affiliate,27579,1183,4.2895,1044,246,108,29,0.1052,1885.08,473.62,298.02,United Kingdom,Desktop,45-54,Female,Awareness
2024-02-19,Referral Bonanza,LinkedIn Ads,20549,397,1.932,353,123,74,34,0.1655,6103.9,606.48,906.45,India,Desktop,25-34,Male,Retargeting
2024-02-19,Loyalty Rewards Push,Facebook Ads,21222,1009,4.7545,851,151,75,32,0.1508,2043.4,957.02,113.52,Canada,Desktop,45-54,Female,Retargeting
2024-02-20,Anniversary Sale,TikTok Ads,25078,1116,4.4501,911,231,76,27,0.1077,1459.53,766.4,90.44,Singapore,Mobile,25-34,Female,Conversion
2024-02-20,App Install Campaign,Affiliate,5925,271,4.5738,231,79,42,11,0.1857,1144.32,206.09,455.25,India,Desktop,25-34,Male,Awareness
2024-02-20,Back to School,Google Ads,38314,2003,5.2279,1838,572,343,128,0.3341,25413.98,2986.36,751.0,Singapore,Desktop,25-34,Male,Awareness
2024-02-20,Cart Abandonment Recovery,Instagram Ads,12916,617,4.777,507,149,88,13,0.1007,1152.82,417.21,176.32,Canada,Mobile,18-24,Male,Awareness
2024-02-20,Lead Gen Webinar,Email Marketing,9467,622,6.5702,547,200,103,38,0.4014,6684.87,103.41,6364.43,India,Mobile,35-44,Female,Conversion
2024-02-21,Festive Mega Offer,Google Ads,17162,719,4.1895,659,261,150,56,0.3263,13729.68,753.54,1722.02,India,Mobile,35-44,Male,Conversion
2024-02-21,Lead Gen Webinar,Instagram Ads,23911,718,3.0028,636,217,115,24,0.1004,2816.97,312.91,800.25,India,Mobile,55+,Female,Awareness
2024-02-21,Summer Sale Blast,Referral,19410,1336,6.883,1275,523,436,300,1.5456,84739.09,119.27,70948.12,United Kingdom,Mobile,35-44,Male,Retargeting
2024-02-21,Holiday Gift Guide,Google Ads,5996,363,6.054,314,81,53,24,0.4003,3239.65,276.45,1071.88,UAE,Desktop,35-44,Female,Consideration
2024-02-21,Clearance Blowout,LinkedIn Ads,21996,691,3.1415,576,135,81,37,0.1682,14348.49,1358.34,956.33,India,Mobile,25-34,Male,Conversion
2024-02-21,Cart Abandonment Recovery,Organic Search,12141,765,6.301,736,342,244,90,0.7413,13065.61,59.36,21910.8,UAE,Mobile,25-34,Female,Retargeting
2024-02-22,Referral Bonanza,Google Ads,15189,834,5.4908,806,242,134,51,0.3358,3744.7,621.68,502.35,Germany,Desktop,25-34,Male,Loyalty
2024-02-22,Brand Awareness Drive,Google Ads,14593,636,4.3583,576,178,100,40,0.2741,8766.89,865.84,912.53,India,Mobile,25-34,Female,Awareness
2024-02-23,Mid-Season Sale,TikTok Ads,12922,587,4.5426,485,93,46,23,0.178,839.47,244.5,243.34,Singapore,Desktop,18-24,Female,Consideration
2024-02-23,Customer Win-Back,Affiliate,31970,1221,3.8192,1101,315,149,40,0.1251,3168.24,937.45,237.96,UAE,Desktop,55+,Male,Retargeting
2024-02-23,Festive Mega Offer,Affiliate,13651,493,3.6115,403,113,70,23,0.1685,3415.06,295.7,1054.91,South Africa,Mobile,25-34,Male,Awareness
2024-02-25,Product Launch Q3,Email Marketing,24873,2226,8.9495,1919,702,435,228,0.9167,54219.98,203.55,26537.18,Australia,Mobile,35-44,Male,Conversion
2024-02-25,Free Trial Signup,Instagram Ads,20674,969,4.687,799,218,117,37,0.179,5609.94,544.06,931.13,United States,Desktop,18-24,Female,Consideration
2024-02-25,Influencer Collab,Facebook Ads,26320,1413,5.3685,1195,300,124,36,0.1368,4659.69,751.56,520.0,Singapore,Desktop,25-34,Male,Awareness
2024-02-26,Product Launch Q1,Organic Search,16981,940,5.5356,770,298,213,96,0.5653,16108.38,37.97,42323.97,India,Mobile,25-34,Male,Consideration
2024-02-26,Product Launch Q3,Instagram Ads,17431,806,4.6239,691,158,71,24,0.1377,1988.94,786.9,152.76,Canada,Desktop,18-24,Male,Awareness
2024-02-26,Referral Bonanza,TikTok Ads,15336,834,5.4382,658,101,45,10,0.0652,959.99,484.63,98.09,United States,Mobile,45-54,Female,Conversion
2024-02-26,Back to School,TikTok Ads,33427,1703,5.0947,1330,251,121,31,0.0927,4299.59,911.34,371.79,Australia,Desktop,45-54,Female,Awareness
2024-02-26,Holiday Gift Guide,Email Marketing,17376,1507,8.6729,1491,535,310,115,0.6618,26236.0,125.92,20735.45,UAE,Desktop,55+,Female,Conversion
2024-02-26,Mid-Season Sale,Instagram Ads,19776,666,3.3677,518,153,76,18,0.091,3165.76,405.15,681.38,Canada,Mobile,55+,Female,Consideration
